@RELATION svmMusicGenre3
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {GB,CS}

@DATA
0.091097,0.000543,3.040163,0.240247,0.273385,0.641655,0.003171,0.150736,-30.118102,1.872129,-0.638687,-0.119527,-0.357563,0.044123,0.156223,0.101968,-0.115069,-0.054956,0.084392,0.222878,-0.067199,0.009427,0.005722,0.017615,0.016467,0.026937,0.013518,0.052224,0.006778,0.005933,0.010992,0.012346,0.008399,0.017254,0.035272,0.001795,0.540630,0.060724,0.015499,0.583428,0.001754,0.206276,1.689434,0.500193,0.392046,0.344075,0.368890,0.339658,0.255136,0.200937,0.178576,0.209481,0.200744,0.155694,0.208682,0.007943,0.006233,0.011811,0.017213,0.016688,0.012550,0.041660,0.011815,0.003120,0.007766,0.008780,0.008701,0.009808,GB
0.117485,0.000130,3.022908,0.263491,0.282004,0.772973,0.002251,0.171847,-33.417772,1.852790,-0.734244,-0.301840,-0.200125,0.287341,0.193186,0.016159,-0.057044,-0.039735,-0.028178,0.068281,-0.033985,0.010051,0.005022,0.033890,0.016282,0.015192,0.009736,0.089400,0.004718,0.005659,0.008436,0.011757,0.005713,0.026015,0.053438,0.000459,0.580562,0.067148,0.022041,0.649947,0.001247,0.206103,2.072839,0.426927,0.345658,0.251015,0.387045,0.201486,0.202016,0.173693,0.208152,0.177420,0.195201,0.164231,0.162248,0.009091,0.004182,0.019220,0.016277,0.005260,0.006021,0.065892,0.004216,0.004822,0.006030,0.005783,0.005388,0.015885,GB
0.097903,0.000171,2.869047,0.256445,0.281028,0.709270,0.004008,0.111262,-33.040503,1.823967,-0.559625,-0.255110,-0.165929,0.292766,0.056635,-0.105949,-0.062869,0.092341,0.099225,0.202579,-0.016154,0.007795,0.004479,0.019813,0.003405,0.038044,0.012724,0.078559,0.005017,0.008401,0.005921,0.010111,0.004438,0.023505,0.032021,0.000535,0.755386,0.052418,0.018599,0.705770,0.003193,0.162609,2.364888,0.593253,0.397315,0.237587,0.264296,0.326728,0.256700,0.181631,0.240518,0.219437,0.200038,0.163909,0.172295,0.009730,0.004178,0.014855,0.002131,0.027675,0.008917,0.049281,0.004474,0.006926,0.003526,0.006770,0.002946,0.012845,GB
0.098866,0.000246,3.115176,0.243974,0.275820,0.629935,0.002547,0.119964,-32.744278,1.713983,-0.946044,0.162187,0.133034,-0.088466,-0.066027,-0.099082,0.076457,0.142894,-0.037028,0.052058,-0.011510,0.010170,0.004047,0.020738,0.004995,0.019077,0.014957,0.069214,0.003645,0.015317,0.010718,0.012542,0.010003,0.021153,0.033958,0.000986,0.405876,0.048316,0.016183,0.610545,0.000884,0.165916,1.767987,0.545933,0.493110,0.246662,0.406893,0.294040,0.288687,0.148408,0.272352,0.160941,0.188295,0.268406,0.153311,0.008490,0.005833,0.015526,0.004220,0.013124,0.012460,0.045358,0.005671,0.019004,0.009002,0.013560,0.010674,0.010157,GB
0.101482,0.000266,2.996681,0.239018,0.256993,0.813883,0.002959,0.170780,-32.440190,1.671817,-0.641471,-0.233981,0.075719,0.152025,-0.015816,-0.124146,-0.233300,0.085303,0.111109,0.123201,-0.151810,0.006752,0.005089,0.015474,0.009135,0.013629,0.029766,0.044811,0.011532,0.007274,0.023403,0.008794,0.003873,0.017943,0.036089,0.000912,0.536957,0.062665,0.014260,0.691997,0.001686,0.193267,1.985206,0.582760,0.743621,0.253676,0.458298,0.171486,0.346995,0.186867,0.269046,0.306617,0.145340,0.267907,0.217506,0.004984,0.003494,0.009800,0.006173,0.010614,0.034768,0.034562,0.018941,0.005089,0.017190,0.006808,0.002944,0.008625,GB
0.116515,0.000140,3.012851,0.271540,0.283385,0.869405,0.002617,0.151361,-33.783518,1.756521,0.053851,-0.134471,-0.359183,0.205902,-0.190194,-0.121555,0.127798,-0.051120,0.000773,0.034814,-0.202653,0.022080,0.005669,0.036623,0.013107,0.019881,0.010283,0.062041,0.007077,0.007769,0.013720,0.009956,0.008309,0.021492,0.030165,0.000542,0.589905,0.047368,0.017058,0.604835,0.001309,0.169608,2.141633,0.620516,0.267618,0.267512,0.281376,0.451130,0.205592,0.237199,0.290316,0.176432,0.148244,0.287144,0.242799,0.028519,0.005170,0.030448,0.015395,0.015294,0.009463,0.044657,0.015337,0.004538,0.009756,0.004015,0.005733,0.011950,GB
0.170236,0.000157,2.962395,0.339915,0.296536,1.309032,0.001955,0.324456,-34.769902,1.355459,-0.127694,0.162295,-0.022688,0.096501,-0.086419,0.016580,0.144691,-0.007440,0.035958,0.158681,-0.035828,0.007005,0.004151,0.044463,0.003897,0.024266,0.004922,0.120172,0.001247,0.004501,0.005388,0.012967,0.004772,0.037334,0.048613,0.000530,0.708387,0.044593,0.022107,0.684859,0.001128,0.221436,2.595671,0.608582,0.390588,0.197795,0.342097,0.334510,0.230979,0.117788,0.176615,0.146788,0.185346,0.294857,0.176484,0.005883,0.003740,0.059903,0.003475,0.016160,0.004661,0.099569,0.000799,0.005022,0.003877,0.013825,0.004818,0.027476,GB
0.103045,0.000470,3.081424,0.240752,0.261414,0.786962,0.002546,0.137780,-29.911209,1.675841,-0.756006,-0.244107,-0.335906,0.193967,0.103550,-0.035248,-0.052773,0.051722,-0.122007,-0.039308,0.006015,0.007194,0.005490,0.019605,0.010136,0.032956,0.010107,0.038350,0.007716,0.006258,0.007655,0.011760,0.013436,0.015629,0.038702,0.001330,0.477927,0.056112,0.020354,0.715983,0.001287,0.165200,0.966542,0.835728,0.475430,0.186504,0.347541,0.173525,0.168141,0.142115,0.310001,0.179947,0.216012,0.182739,0.188505,0.006202,0.004299,0.016374,0.009721,0.025586,0.010736,0.029648,0.009198,0.006377,0.006165,0.007894,0.014627,0.006894,CS
0.122767,0.000392,3.155115,0.245357,0.253411,0.974002,0.002486,0.165584,-31.319651,1.286408,-0.523482,-0.110183,-0.164759,0.336086,0.251841,-0.436172,0.054905,0.096613,-0.144705,-0.015526,-0.250165,0.005020,0.005970,0.025318,0.012522,0.023555,0.005544,0.042782,0.007909,0.014263,0.015394,0.011385,0.004147,0.017818,0.062865,0.001264,0.238172,0.075580,0.039725,0.736168,0.001447,0.171377,1.683816,0.902720,0.409909,0.305926,0.349340,0.230775,0.149937,0.241560,0.239166,0.242963,0.180146,0.311092,0.247495,0.003615,0.008645,0.023807,0.015289,0.036416,0.005762,0.044812,0.010120,0.013123,0.014175,0.006674,0.002665,0.012598,CS
0.070112,0.000961,3.104372,0.159892,0.201950,0.503240,0.004843,0.117251,-28.054453,1.334025,-0.729525,-0.092051,-0.572058,0.275092,0.157939,-0.275510,-0.179741,-0.091481,0.034192,0.004965,-0.055717,0.010791,0.004283,0.005746,0.005236,0.015728,0.026364,0.011665,0.002696,0.026528,0.014458,0.019562,0.010798,0.017736,0.047606,0.001653,0.370021,0.071534,0.021104,0.692228,0.002056,0.158530,0.896954,0.464449,0.465704,0.178802,0.315009,0.236657,0.169128,0.166368,0.320562,0.247847,0.208621,0.255918,0.261776,0.017570,0.004217,0.004515,0.003188,0.017299,0.033776,0.012023,0.002775,0.046199,0.008122,0.019536,0.017871,0.011587,CS
0.073990,0.000443,3.161725,0.164754,0.201409,0.657622,0.004557,0.130172,-28.922400,1.444245,-0.275337,-0.307645,-0.277854,0.202026,-0.153672,-0.153303,-0.108776,-0.093764,-0.055678,-0.179682,-0.308388,0.023357,0.008178,0.034326,0.011468,0.010016,0.014792,0.018841,0.005808,0.008160,0.018461,0.013157,0.009551,0.017152,0.027606,0.000839,0.184163,0.040031,0.012866,0.408298,0.001535,0.093784,0.610032,0.307501,0.261873,0.206839,0.375670,0.243577,0.218977,0.299826,0.188343,0.256503,0.212141,0.301746,0.167632,0.027282,0.008526,0.035551,0.008920,0.005835,0.018338,0.014067,0.006083,0.007547,0.010435,0.011159,0.009283,0.010439,CS
0.073216,0.001046,3.088770,0.167841,0.203298,0.569007,0.004404,0.132343,-28.093550,1.529743,-0.398645,-0.217162,-0.833714,0.116122,-0.101575,-0.125123,0.039252,-0.133456,0.029665,-0.123764,-0.102765,0.021040,0.005744,0.013718,0.011426,0.012861,0.013953,0.023150,0.004175,0.004854,0.025726,0.015213,0.019102,0.013613,0.052278,0.002343,0.359172,0.080065,0.023952,0.711736,0.002563,0.166996,0.970718,0.508529,0.546622,0.248926,0.343999,0.202875,0.239169,0.297713,0.276107,0.181341,0.269332,0.307877,0.204471,0.025348,0.005449,0.009817,0.009166,0.007512,0.009422,0.019496,0.005494,0.004694,0.017125,0.009653,0.022832,0.006376,CS
0.131388,0.000312,3.149144,0.250285,0.240858,1.209626,0.002111,0.228818,-31.111548,1.178678,0.042470,-0.010661,-0.561229,0.308227,-0.004964,0.111723,0.112360,-0.017385,0.055035,-0.078598,-0.125746,0.011342,0.007199,0.011433,0.005732,0.017788,0.008510,0.044652,0.002873,0.006116,0.016442,0.008951,0.011009,0.015626,0.049085,0.001054,0.349950,0.063142,0.023021,0.674688,0.001159,0.157077,1.228770,0.615823,0.515478,0.327431,0.304704,0.312048,0.306680,0.235317,0.251635,0.276441,0.246553,0.139347,0.142113,0.010428,0.005870,0.004664,0.007049,0.019140,0.009176,0.034650,0.004690,0.005926,0.020794,0.009112,0.018016,0.008637,CS
0.147119,0.000343,2.988126,0.296498,0.274144,1.187906,0.001953,0.275953,-32.794411,1.218192,-0.278953,0.284357,-0.250130,0.223074,0.271528,0.052709,0.136945,-0.065657,-0.051120,-0.051117,-0.022936,0.007229,0.004399,0.043753,0.006584,0.023237,0.005365,0.084801,0.003300,0.004343,0.004953,0.011836,0.005125,0.027783,0.054885,0.001101,0.697700,0.070972,0.030993,0.745313,0.001287,0.192019,1.989308,1.151918,0.452898,0.227324,0.290015,0.329881,0.242100,0.286290,0.306918,0.142808,0.223762,0.238708,0.187337,0.007997,0.005305,0.045711,0.005124,0.018959,0.006551,0.062166,0.004142,0.004668,0.003051,0.007508,0.007196,0.016120,CS
0.110311,0.000409,3.075557,0.256452,0.263495,0.907801,0.002898,0.197595,-31.017421,1.768803,-0.121787,-0.371962,-0.657417,0.077653,0.317077,0.080154,-0.094524,-0.034302,-0.006280,-0.229086,-0.092792,0.012130,0.008017,0.035985,0.011368,0.013541,0.007782,0.038417,0.004999,0.008048,0.015400,0.013919,0.010217,0.016409,0.045299,0.001208,0.425463,0.076630,0.022840,0.732503,0.001515,0.192415,1.466791,0.704487,0.610984,0.385636,0.272435,0.167488,0.281545,0.351013,0.246975,0.330991,0.186803,0.240471,0.184102,0.012995,0.008355,0.029949,0.011082,0.010733,0.004803,0.043474,0.005152,0.007015,0.018232,0.011825,0.008367,0.011655,CS
0.092631,0.000545,3.061782,0.222039,0.243437,0.829321,0.003926,0.169405,-29.960046,1.555405,-0.426515,-0.159220,-0.649979,0.144931,0.149016,-0.025553,0.084485,-0.056092,-0.094837,0.060653,-0.062705,0.019385,0.003853,0.044713,0.028925,0.015620,0.006536,0.018387,0.004681,0.004689,0.011460,0.013687,0.010350,0.019176,0.047790,0.001465,0.538147,0.074605,0.025816,0.808541,0.002576,0.198977,1.308912,0.737888,0.492927,0.259471,0.331506,0.248031,0.200300,0.270864,0.243905,0.248854,0.220446,0.272690,0.229600,0.020618,0.003503,0.044299,0.036414,0.019738,0.007366,0.014241,0.005111,0.002901,0.009762,0.011666,0.014237,0.011480,CS
0.121937,0.001290,3.102108,0.260082,0.261286,0.965304,0.002867,0.169351,-29.067553,1.526823,-0.157799,-0.394835,-0.607334,0.252429,-0.061408,-0.075782,0.066661,0.038642,-0.018735,-0.039871,-0.060899,0.008045,0.005300,0.028807,0.015770,0.017179,0.006848,0.050997,0.012253,0.004809,0.019356,0.015117,0.003238,0.021886,0.058410,0.002951,0.363713,0.072358,0.041000,0.759487,0.001734,0.181396,1.954536,0.782265,0.339902,0.236963,0.370463,0.270748,0.205369,0.221086,0.295863,0.152952,0.196007,0.228342,0.234791,0.004893,0.004933,0.022557,0.017289,0.020697,0.005117,0.048845,0.019101,0.003547,0.030995,0.026504,0.002775,0.011178,CS
0.085928,0.000399,2.929846,0.197513,0.212495,0.810463,0.003655,0.170459,-29.964409,1.498154,-0.146658,-0.542423,-1.044794,0.406667,-0.013547,0.268194,0.261996,-0.169714,-0.011807,0.072776,0.059316,0.016076,0.012229,0.029019,0.009014,0.009551,0.023929,0.013993,0.001075,0.001804,0.012858,0.008496,0.008240,0.014954,0.055382,0.000692,0.736005,0.083317,0.017687,0.864300,0.002643,0.191099,1.147281,0.775778,0.424268,0.324170,0.284421,0.320331,0.264656,0.247091,0.195769,0.146192,0.175892,0.158916,0.142943,0.015093,0.011015,0.031542,0.007617,0.009202,0.033396,0.010650,0.001145,0.001981,0.017990,0.008830,0.011189,0.008852,CS
0.115946,0.001057,2.975930,0.226081,0.223795,1.215177,0.003318,0.230078,-29.237121,0.925343,-0.320859,-0.361182,-0.950584,0.452465,0.303525,0.035865,0.205909,-0.091626,0.009351,-0.149654,0.085314,0.004876,0.006658,0.022878,0.010968,0.016037,0.008397,0.028929,0.002845,0.003222,0.005658,0.004888,0.008004,0.012831,0.077733,0.001737,0.695124,0.085711,0.020451,1.025747,0.003099,0.192924,1.906867,0.831019,0.561970,0.250013,0.440725,0.187296,0.259150,0.130892,0.146984,0.181908,0.213903,0.179551,0.304164,0.003678,0.008673,0.023651,0.014785,0.014649,0.013983,0.041300,0.003751,0.001970,0.004465,0.003139,0.010438,0.011107,CS
0.104583,0.000514,3.048782,0.243892,0.255091,0.919225,0.003758,0.177541,-31.487032,1.578936,0.001960,-0.184707,-0.444142,0.131424,-0.104361,0.039842,0.138722,-0.079096,-0.056351,-0.061965,0.104262,0.011531,0.007625,0.040769,0.017058,0.024050,0.007156,0.055875,0.002088,0.006058,0.008132,0.014052,0.014460,0.022412,0.057118,0.001797,0.586797,0.074401,0.026294,0.774453,0.003880,0.201557,1.526419,0.932028,0.482699,0.362165,0.458484,0.193309,0.231581,0.243792,0.239010,0.222118,0.223040,0.177036,0.198240,0.012581,0.011292,0.041708,0.024716,0.019107,0.007337,0.046549,0.002554,0.007050,0.005825,0.011821,0.016505,0.012628,CS
0.108368,0.000473,3.047581,0.249861,0.267113,0.692201,0.003002,0.125752,-33.302111,1.667649,-0.247066,-0.031768,-0.223350,-0.009758,0.113070,0.065790,0.022050,-0.077524,0.004381,0.022111,0.099421,0.014980,0.003589,0.031645,0.006762,0.025960,0.022755,0.045821,0.001162,0.003954,0.004208,0.016090,0.024155,0.022522,0.071160,0.001936,0.589890,0.071560,0.029059,0.612377,0.001713,0.173108,1.335165,0.875354,0.644474,0.260628,0.492426,0.197361,0.187447,0.194075,0.338522,0.198545,0.221839,0.233316,0.175878,0.008128,0.003155,0.026329,0.006288,0.024109,0.027375,0.040139,0.001037,0.003816,0.003467,0.008516,0.041057,0.009760,CS
